status	SEER_Draw	Stage	coef_a_weibull	sd_a	coef_b_weibull	sd_b	coef_lts_fraction	sd_lts	lb_lts	ub_lts	coef_recur_month	sd_recur	lb_recur	ub_recur
40-54	Anus	I	1.2174738520470783	0.20045903571021464	-4.435009168341006	0.7765178136385992	0.9422414221416492	0.026507917018582194	0.8660065791401684	0.9747567211672773	4.8219413999041333e-4	1.651563764603626e-4	9.817481186763888e-5	7.531814936222803e-4
40-54	Anus	II	1.2717624149590527	0.09656507308534529	-4.125562716225022	0.32691179973253487	0.8494325155989337	0.018358309402776805	0.8102144406733732	0.8808515622719725	7.353604310764212e-4	1.3568284462213895e-4	4.655521462893449e-4	0.0010037155348400545
40-54	Anus	III	1.4418086464333375	0.0679041737242488	-4.784082909404541	0.24722164073537115	0.7168371398943449	0.01843441059663084	0.6797998996121281	0.7532792264441119	8.389020296425058e-4	1.5263069624674896e-4	5.583933618451014e-4	0.001160977784511844
40-54	Anus	IV	1.1899260981173292	0.05814801924740076	-3.4150794161782283	0.21460004191719562	0.3170202758215421	0.036831990583647375	0.2512652020736789	0.39420485954027173	0.0017405546158989844	6.67478093700711e-4	8.220678455477448e-4	0.0031952718738743873
55-64	Anus	I	1.0481869567699063	0.18452395409320105	-3.8993253007147923	0.7273743506836875	0.9351904253357121	0.030521737534910727	0.8548308759581127	0.9719654477672529	4.5873685733379386e-4	1.7126544941079285e-4	8.636226607981971e-5	7.633949463574656e-4
55-64	Anus	II	1.3537233517798979	0.10282730425497762	-4.781969347423445	0.3818514480421573	0.8580314981427639	0.021728827833013633	0.809081483486593	0.8956249039528074	6.729873574594398e-4	1.75410816594574e-4	3.1831635155766695e-4	0.001021393974500677
55-64	Anus	III	1.3587449906720972	0.06383016713518698	-4.601440170581095	0.23242003869102593	0.7191415612469605	0.02213633054889828	0.6740358226029913	0.7618367098506933	9.788800919639869e-4	2.2578796812362873e-4	5.736638442284471e-4	0.0014493196334061328
55-64	Anus	IV	1.1007134521786717	0.05569553754741868	-3.1746364586618636	0.19560386607028016	0.2589898826328191	0.033199101241365284	0.19829365445664154	0.32765510902357675	0.001675337250874113	6.32767212834428e-4	8.190021234673756e-4	0.0031383794376019297
65-74	Anus	I	1.0577352093234171	0.15339090957762383	-4.2220706670080705	0.5869161435371326	0.8521756034269513	0.04085440486247251	0.7759985743937631	0.9294349583123667	2.842262498754962e-4	2.197181377250282e-4	8.316477213881894e-6	7.72770226290535e-4
65-74	Anus	II	1.117773754835746	0.10074410693864097	-3.7968933622177574	0.31510270539351803	0.8085508651944533	0.03175943889036095	0.7402479044366289	0.8625255279620757	4.5659792544871884e-4	2.45668924655116e-4	3.4691408795344794e-5	9.407589660438561e-4
65-74	Anus	III	1.2722590361446775	0.07813843647947986	-4.201071330560887	0.27622047931510185	0.65128338361911	0.02984084581908542	0.5925060203987296	0.7087668460447591	6.766961729466902e-4	3.068687218339602e-4	1.4691013117013716e-4	0.0013103510397262338
65-74	Anus	IV	1.1000763197369272	0.06593615556853336	-3.143584550366513	0.22649352598233205	0.2389298542822696	0.03549319514238527	0.1742226616898207	0.3150674591133183	0.001361880320606845	7.120008544273914e-4	3.4880560650581784e-4	0.002998889106155171
75-84	Anus	I	0.8429619328545088	0.09774024983992023	-3.312999708667532	0.3866175113294878	0.6637800261711775	0.04546270914235974	0.569188547377089	0.748273568205575	4.043118713135415e-5	1.5904018952093014e-4	2.004189453520709e-7	5.829062996101838e-4
75-84	Anus	II	0.8262406709880421	0.07840110559134447	-2.9930158576355295	0.28790665691614864	0.6253610954643187	0.04533623595727133	0.5293546119461596	0.7074036635924473	9.81621821812765e-5	2.253816189424978e-4	1.0002905326156205e-6	8.339912981344233e-4
75-84	Anus	III	1.020709822321971	0.07454568257386122	-3.3780085281297616	0.2708966578500609	0.4838105897025835	0.03950857854476578	0.408747371500051	0.5622245648636195	2.440909397859625e-4	3.5997446461269396e-4	4.169576775321586e-6	0.001312180112983788
75-84	Anus	IV	0.7998357372796812	0.06150612634726093	-2.048495455352983	0.22605823973291725	0.16973706664293337	0.044354912700799366	0.09453737336823374	0.2654591748713604	7.685994832249995e-4	7.925916005931854e-4	2.5709237178797443e-5	0.0029317589328345865
40-54	Bladder	I	1.4937695725181288	0.21002769483793818	-5.5381788034081705	0.74755830095354725	0.9567124568956176	0.02545012872056578	0.8729258051118083	0.9801701909128934	7.475697217453642e-4	1.5624700123732205e-4	3.169000263879321e-4	9.821636854959732e-4
40-54	Bladder	II	1.3201551071812117	0.06863321843455815	-4.137165407696254	0.2473110819766626	0.7526368679427262	0.02015043964077737	0.712848692760884	0.791254112412546	0.0010894000404655434	1.8566232012308728e-4	7.580164291643866e-4	0.0014820497157399819
40-54	Bladder	III	1.3693747840038837	0.062274303708994665	-4.264581403925488	0.24952500365387095	0.5768523677490743	0.030905807879545034	0.51672253695743	0.6382495601108921	0.0015066709760064524	3.108623136804865e-4	0.0010184205155973857	0.0022141976759882877
40-54	Bladder	IV	1.1520257608720277	0.035090388818797426	-3.0411452657699227	0.10550983693500066	0.20058415067546403	0.01581964905603425	0.17089354296365888	0.2325724929518693	0.0019812061861490897	4.1631041987506904e-4	0.0012808354166463185	0.002884637685561827
55-64	Bladder	I	1.445283398211405	0.14000119842772385	-5.678743409512672	0.39830952740750936	0.9041597246537797	0.030610880781940145	0.8205356493653823	0.9397666258461972	6.862613316848793e-4	2.0579570577774283e-4	1.6153748018808453e-4	9.655193298742702e-4
55-64	Bladder	II	1.2503742111865397	0.03979919664360366	-3.8283071438189538	0.13124404894259786	0.7032409315067425	0.013770164984107325	0.6763291753753827	0.7294548522705072	0.0010652576057468793	1.4262615420037637e-4	7.956655621485894e-4	0.0013520548038894811
55-64	Bladder	III	1.3043376730901113	0.036268412199964295	-3.9973944096507745	0.14673701434168934	0.5462586013738292	0.02102229961167699	0.5059942183680075	0.5883450873374044	0.0015422862472343414	2.374754909519753e-4	0.0011267841347598923	0.002054270131584021
55-64	Bladder	IV	1.0926802326973366	0.023291163514238513	-2.842767954242179	0.06794151444411284	0.20428308958592517	0.010916806561964993	0.18420674005704524	0.22672124194141208	0.0017658022266482006	2.8930454967666355e-4	0.0012633520081033205	0.002392874288381194
65-74	Bladder	I	1.393392173453489	0.11800923446939965	-4.937748357397399	0.3733316578999982	0.9354184699672372	0.014955203887537535	0.8972453255014939	0.9534158705274302	0.0015315074408794888	1.245497942031031e-4	0.0012410907733329658	0.0017295945239375957
65-74	Bladder	II	1.2001427217187068	0.027749548817411616	-3.569286310095909	0.10058890131928122	0.6833681205433612	0.012541635160994019	0.6585300821960878	0.7077228278927059	0.0018642193353844393	1.4809071149696397e-4	0.0016000355983790712	0.002178526306465576
65-74	Bladder	III	1.229423745819799	0.029724168933658018	-3.6740973695673067	0.12448738964893818	0.5552758565880296	0.018673111519554166	0.5193828856920767	0.5935529219037823	0.0021001320697536102	2.0950132424149494e-4	0.0017670109122178426	0.0025770766007919034
65-74	Bladder	IV	1.0177785390613865	0.019893737338267662	-2.547187139771035	0.058876087136840165	0.1966124620414529	0.011292474631601957	0.17532849196767694	0.2197557864894202	0.0029479286367567878	3.1142377306295286e-4	0.0021976421611740967	0.0033140924305891596
75-84	Bladder	I	1.087767722162324	0.06913525178840897	-3.64393046211124	0.17512319519383263	0.8719660714224571	0.02934935806425452	0.7894722329166026	0.9054035997217011	0.0024401437774323317	2.554111354272844e-4	0.0017989848793165304	0.002823477631572271
75-84	Bladder	II	1.062236464469879	0.02149616617713489	-2.9274147568265443	0.06867324306083954	0.5130136773535893	0.012214984308744938	0.4886132682330621	0.5374646973797272	0.0029664489479176966	1.5733963756858112e-4	0.0026106503426759934	0.003225102339236168
75-84	Bladder	III	1.117078915502201	0.025863363296250164	-3.138313289406838	0.10586273530029139	0.4797431715313479	0.016708439132899797	0.4457906835167642	0.5107986278775636	0.0031031702315233375	1.385999687055901e-4	0.002761676988002794	0.0032940889652099585
75-84	Bladder	IV	0.8986639564865685	0.017237793120810502	-1.972575274533748	0.04975761378930411	0.13137754585309094	0.00942553058927184	0.1138027535180502	0.15063567420406604	0.0032579633399307667	9.041003831189287e-5	0.0029991004798699426	0.0033302494396613793
40-54	Breast	I	1.656649131050824	0.06083462714790952	-8.307051463584882	0.210840631799394	0.9392776683095561	0.006765754810878491	0.9232096737307691	0.9498958261665891	3.9752996291223735e-6	6.8706989029126845e-6	4.907177442664597e-8	2.511676854313973e-5
40-54	Breast	II	1.5825583697712577	0.02478393626632202	-7.237170599767625	0.09570716536789108	0.8516736462463634	0.0040216066523525345	0.8442285324475598	0.859977254204197	9.346488749983912e-6	1.2632093334217156e-5	2.276578697819308e-7	4.582737925863989e-5
40-54	Breast	III	1.4112101731128237	0.020901400360820284	-6.049529666899826	0.07528080008595382	0.6484879820745166	0.020157046618145966	0.6226847931774316	0.694511009437544	1.709763436870456e-4	1.589576430138408e-4	1.9860869341678012e-06	5.396556607985225e-4
40-54	Breast	IV	0.9261919435710031	0.015274200400750242	-3.4984548789004988	0.05104557865939089	0.13659198570448106	0.018120678517580573	0.1125612238027286	0.18361088756926228	4.0485972005846113e-4	5.118612447954897e-4	1.1848729786492189e-5	0.00193085176095825
55-64	Breast	I	1.561339330423103	0.07872907033346775	-8.000763888809903	0.25620709022697646	0.9310733674184546	0.012638556296449771	0.9024128246130044	0.9518254585564885	1.0659152998909922e-5	1.6504688030910724e-5	8.117086916563787e-8	5.775118947190561e-5
55-64	Breast	II	1.4647441945770845	0.02885879146011379	-6.883467543771465	0.1003230181166263	0.821571975802167	0.008778163663296017	0.8064254955923178	0.8411928259113017	2.361465601557412e-5	2.9207363040387266e-5	3.314655231873784e-7	1.0569407649222749e-4
55-64	Breast	III	1.370250846978148	0.01977464502259889	-5.958995715943907	0.07983287379918375	0.5891194560267762	0.014297454461714126	0.5695312497873766	0.6271493481146706	8.140350785137796e-5	1.1076101028317165e-4	1.8464622935038674e-6	4.0621381035384457e-4
55-64	Breast	IV	0.790272443477052	0.011483421277678743	-2.909553931511029	0.03981145154617952	0.06071153922611025	0.010763905950956066	0.04254175101581121	0.08537382127405913	2.821244374809192e-4	4.5438758177093947e-4	1.1076706057743207e-5	0.001712507106041156
65-74	Breast	I	1.5005507721695694	0.06333430385947682	-8.700248560484457	0.23037568569077996	0.8134190430418613	0.03642442615338186	0.752801048619652	0.890514870559587	6.259554776628203e-5	3.293155539613834e-5	1.5582263113332105e-6	1.1972683802949402e-4
65-74	Breast	II	1.3309766334436335	0.037996326500373045	-6.506430237599636	0.10961709814380091	0.7776444480424943	0.024033470464041775	0.7270341555983862	0.8227175188388824	9.939922335073999e-5	6.441415256296569e-5	5.024683631786948e-6	2.5880328646508846e-4
65-74	Breast	III	1.2480714966376412	0.0226457195015677	-5.5205666435797	0.0932112362451199	0.532327740026346	0.019996417371250994	0.5012829314104744	0.5809393026342952	2.070236045481015e-4	1.665919304513616e-4	2.0532192615649368e-5	6.644901793084503e-4
65-74	Breast	IV	0.6819379665746579	0.010674468566860556	-2.5352631162280965	0.03890123590553671	0.013111052962776218	0.011281291627145563	5.004671960262691e-4	0.042382318079055514	8.643563163066208e-4	8.91546525924083e-4	8.728489584071457e-5	0.003114229743374604
75-84	Breast	I	1.4254054569001664	0.09700050508944036	-8.105601422028943	0.4425687820769935	0.7472361358825736	0.0634341432168764	0.6210909705048365	0.8614563145064267	2.3380378039193343e-4	1.227787047376888e-4	2.558763175804138e-6	4.083373927031263e-4
75-84	Breast	II	1.1859340473652324	0.03960065069967806	-5.667925885503446	0.1005562096624137	0.7003562026026626	0.053312368224751695	0.5906453815715874	0.7959980391403576	3.2036811098875065e-4	1.9137618244647803e-4	8.945280429212693e-6	7.190924863208372e-4
75-84	Breast	III	1.127505528349979	0.02269887918623532	-4.707992251994579	0.09134342545866088	0.4143748544070379	0.02534016755540067	0.36956194395339004	0.4689268921212996	4.997352600551314e-4	2.9345072234011183e-4	4.0652834744730433e-5	0.0011952014750479117
75-84	Breast	IV	0.6405346346391749	0.012312665058885989	-2.1304615926633654	0.04133750219875047	0.02165719224249759	0.014165793641602694	0.00223188667287591	0.055271630898504696	0.001534988545987236	8.860879640956151e-4	2.0729089171906675e-4	0.0032255644055540675
40-54	Breast_HR_negative	I	1.9676800249404511	0.041694305070369336	-7.973736928313724	0.18052400811089336	0.9512071337292456	0.0052651507097498905	0.940312586227688	0.9613852252141254	1.816613860491716e-4	3.6567839648429375e-5	1.1361468921667944e-4	2.5925422003822e-4
40-54	Breast_HR_negative	II	1.9126452060071877	0.038265248436466996	-7.304967449483722	0.15169461938729806	0.8608664542592586	0.005014262108932801	0.850900701591386	0.870525455748309	3.1626080241611897e-4	3.6750260290166386e-5	2.461138158102276e-4	3.8929213634487063e-4
40-54	Breast_HR_negative	III	1.631244568187947	0.029630484734115253	-5.805554918960841	0.11370212478478763	0.6239754557399362	0.010043130302014841	0.6037524899240132	0.6431221632888314	6.674611943284411e-4	9.555955170919677e-5	4.905082846360316e-4	8.639943113376744e-4
40-54	Breast_HR_negative	IV	1.1761394407453771	0.02445024329296028	-3.4313151491646288	0.09010882487296082	0.27111456704091946	0.015470436191748984	0.24043915717801104	0.3017352982567695	0.0030438868052200113	2.9632078185107117e-4	0.002218881636194028	0.0033194799318124863
55-64	Breast_HR_negative	I	1.9122402030185004	0.08474700294137044	-7.781636738239726	0.32035426425740765	0.9496666447374429	0.006727945968695727	0.9340517003671956	0.9608928629192183	1.728193347986691e-4	4.5243256634064165e-5	7.811882639410998e-5	2.55760412509006e-4
55-64	Breast_HR_negative	II	1.7147658093676172	0.04057938315534429	-6.542947953432473	0.16506660215068	0.8566146025996357	0.006533795147144026	0.8439134992389263	0.8693319268179819	3.6777095268188993e-4	5.06337558752333e-5	2.737751375861495e-4	4.74982340187311e-4
55-64	Breast_HR_negative	III	1.4940037401543023	0.03251118584429108	-5.368664602265593	0.12758035162630146	0.6125435797600356	0.014123651871126852	0.5854616210074683	0.6408391088352609	7.962989819565803e-4	1.4754286850816953e-4	5.318141759945312e-4	0.0011187529290297143
55-64	Breast_HR_negative	IV	0.9917065571247834	0.024475015495784784	-2.750937661284639	0.0830009318134304	0.22398732611937688	0.015266220585471411	0.19398623170703888	0.253375157317002	0.0031347177201489817	2.4242339061140568e-4	0.0024445810364385283	0.0033261233075127052
65-74	Breast_HR_negative	I	1.7823873766551668	0.1424615335044546	-7.2768880466123935	0.532403982500399	0.9589797897989558	0.012920549899159844	0.9219779439606651	0.973963793898793	3.697707666677164e-4	7.999345427926888e-5	1.7003262347716177e-4	4.938549691777967e-4
65-74	Breast_HR_negative	II	1.581530735215058	0.050680508507313246	-5.991843149611573	0.2007462492414492	0.834784952118206	0.010380175929518792	0.8136073658846552	0.8546094872677007	5.36168320033348e-4	8.788626639466545e-5	3.7195901078366063e-4	7.207685450750235e-4
65-74	Breast_HR_negative	III	1.4381036367069409	0.041012716040793394	-5.189447999642551	0.15947693535739177	0.5666222326822806	0.01699826032025846	0.534963976006398	0.6019550286531009	7.029130879187179e-4	1.6522258225743077e-4	4.6527031658944465e-4	0.0011038878375972216
65-74	Breast_HR_negative	IV	0.900897773667612	0.02663085740534186	-2.3766309064092535	0.09025406069397555	0.1756205390678798	0.01992063449810775	0.1375334041710661	0.214732704017157	0.0024081057016168824	6.719985499564508e-4	8.848766315834851e-4	0.0032834349557639654
75-84	Breast_HR_negative	I	1.632037146670052	0.1675825926481489	-6.62224421519582	0.617101280210192	0.9271940386763882	0.026064680787720614	0.8523549009577633	0.9591269911359623	5.61373053829123e-4	1.679453232706622e-4	1.4502052994846466e-4	8.361797971239614e-4
75-84	Breast_HR_negative	II	1.4247886396409224	0.05510974424253846	-5.170426556811116	0.20439411097946103	0.758991163190694	0.01856089372745396	0.721642157427586	0.7944515475779003	9.199623921620878e-4	1.8457578292217525e-4	5.839998320236239e-4	0.00130846820411757
75-84	Breast_HR_negative	III	1.3023283553678349	0.04359651973678849	-4.449172916311107	0.16263164625555454	0.42766964883162384	0.0255822548393151	0.38149086698486306	0.48119112903435346	0.0012719025405911082	3.77351584751701e-4	7.290482693984046e-4	0.002200207210447954
75-84	Breast_HR_negative	IV	0.8667836443449533	0.029744468773475544	-2.1084651099583818	0.09699116570075819	0.12490317422888961	0.01854821791689588	0.09186764092505946	0.16545000754533773	0.002086085836469428	6.351488116716021e-4	0.0010185299191951525	0.00325325433104908
