status	SEER_Draw	cure_fraction_I	cure_fraction_II	cure_fraction_III	cure_fraction_IV	excess_risk_I	excess_risk_II	excess_risk_III	excess_risk_IV
Surgery	Anus	94(87-97)	86(81-90)	66(61-71)	25(16-35)	0.994	0.99	0.987	0.972
Total	Anus	93(87-95)	85(82-87)	70(68-72)	27(23-31)	0.993	0.991	0.99	0.982
Surgery	Bladder	93(91-94)	69(67-70)	56(54-59)	22(20-23)	0.984	0.979	0.975	0.969
Total	Bladder	92(90-94)	68(66-69)	54(52-57)	19(17-20)	0.985	0.98	0.977	0.972
Surgery	Breast	89(86-91)	82(82-83)	73(69-76)	35(28-39)	1	1	0.988	0.969
Total	Breast	88(83-92)	82(81-83)	59(57-61)	6(5-8)	1	1	0.999	0.998
Total	Breast_HR_negative	96(95-96)	85(85-86)	60(59-62)	23(21-25)	0.997	0.995	0.991	0.962
Total	Breast_HR_positive	87(81-91)	82(79-84)	60(58-63)	5(3-7)	1	0.999	0.998	0.997
Total	Breast_HR_unknown	95(81-100)	85(77-89)	56(47-66)	1(0-4)	0.997	0.995	0.991	0.978
Surgery	Cervix	95(91-97)	73(69-78)	69(65-72)	43(37-49)	0.996	0.993	0.988	0.982
Total	Cervix	94(93-95)	76(73-78)	57(55-59)	23(21-25)	0.994	0.987	0.982	0.964
Total	Cervix_adeno	94(87-97)	62(56-69)	52(45-59)	21(17-25)	0.995	0.991	0.983	0.977
Total	Cervix_squamous	94(92-95)	79(76-81)	59(56-61)	24(22-27)	0.994	0.988	0.984	0.963
Surgery	Colon_Rectum	65(61-70)	63(60-67)	59(58-60)	12(11-13)	1	1	1	0.998
Total	Colon_Rectum	62(59-66)	61(58-65)	58(57-59)	7(7-7)	1	1	1	1
Surgery	Esophagus	82(71-89)	57(53-60)	38(34-41)	28(24-33)	0.988	0.974	0.97	0.966
Total	Esophagus	60(56-63)	43(41-45)	27(26-29)	5(5-6)	0.984	0.967	0.963	0.962
Total	Esophagus_adeno	69(63-74)	43(41-46)	26(24-29)	5(5-6)	0.985	0.97	0.966	0.963
Total	Esophagus_squamous	41(37-44)	40(36-43)	28(25-31)	7(6-8)	0.97	0.967	0.963	0.962
Surgery	Gallbladder	63(58-67)	31(28-34)	29(25-32)	5(4-7)	0.991	0.982	0.978	0.97
Total	Gallbladder	50(46-54)	24(22-27)	22(19-25)	2(2-3)	0.994	0.984	0.978	0.965
Surgery	Head_and_Neck	96(95-97)	91(90-93)	83(82-85)	74(73-75)	0.99	0.984	0.979	0.974
Total	Head_and_Neck	95(94-96)	89(88-90)	79(78-80)	64(64-65)	0.988	0.978	0.976	0.974
Total	Hodgkin_lymphoma	93(92-95)	93(91-94)	84(82-86)	76(73-78)	0.994	0.994	0.989	0.986
Surgery	Kidney	93(89-96)	90(87-94)	89(86-91)	25(24-27)	0.995	0.985	0.971	0.962
Total	Kidney	100(100-100)	96(93-98)	89(87-91)	14(13-15)	0.993	0.98	0.969	0.961
Surgery	Liver_Bile_duct	59(55-64)	58(55-62)	26(22-30)	19(14-24)	0.984	0.982	0.968	0.964
Total	Liver_Bile_duct	32(30-34)	32(29-34)	8(8-9)	3(2-3)	0.992	0.991	0.964	0.962
Surgery	Lung	89(84-91)	59(56-61)	50(49-52)	30(28-32)	0.969	0.965	0.962	0.961
Total	Lung	74(71-76)	47(45-48)	21(20-21)	5(5-5)	0.969	0.962	0.961	0.961
Total	Lung_NET_excl_SCLC	79(75-83)	55(48-63)	27(24-30)	6(5-7)	0.983	0.975	0.965	0.962
Total	Lung_NET_incl_SCLC	62(59-65)	40(36-44)	18(17-19)	3(3-3)	0.974	0.965	0.962	0.961
Total	Lung_adeno	82(75-85)	50(46-53)	23(22-24)	6(6-7)	0.973	0.965	0.962	0.961
Total	Lung_other	51(44-56)	36(32-39)	18(17-19)	4(4-5)	0.974	0.971	0.961	0.961
Total	Lung_small_cell	43(38-46)	30(26-35)	16(15-17)	3(2-3)	0.966	0.963	0.962	0.961
Total	Lung_squamous	67(63-69)	46(44-48)	21(20-22)	6(5-6)	0.963	0.962	0.961	0.961
Surgery	Lymphoma	93(92-94)	88(87-90)	82(80-84)	76(74-78)	0.99	0.989	0.983	0.98
Total	Lymphoma	91(90-91)	86(85-87)	81(80-82)	74(73-75)	0.99	0.989	0.983	0.98
Surgery	Melanoma	95(95-96)	83(80-85)	65(63-67)	33(30-37)	1	0.991	0.984	0.972
Total	Melanoma	95(95-96)	83(80-85)	67(65-68)	27(25-29)	1	0.991	0.983	0.964
Total	Non_Hodgkin_lymphoma	91(90-91)	85(84-86)	81(80-82)	74(73-75)	0.99	0.988	0.982	0.979
Surgery	Ovary	86(82-91)	76(63-82)	33(28-37)	19(16-22)	0.998	0.985	0.971	0.966
Total	Ovary	79(75-82)	52(46-57)	17(16-19)	5(4-6)	1	1	1	0.998
Surgery	Pancreas	71(63-76)	24(23-26)	20(17-23)	19(17-22)	0.981	0.963	0.962	0.961
Total	Pancreas	43(41-46)	16(15-17)	4(4-5)	3(2-3)	0.977	0.962	0.961	0.961
Surgery	Prostate	83(79-88)	80(77-85)	76(73-79)	55(52-65)	1	1	1	1
Total	Prostate	78(72-81)	76(71-79)	71(66-76)	35(33-60)	1	1	0.999	0.997
Total	Renal_parenchyma	100(100-100)	97(94-99)	89(86-90)	15(14-16)	0.992	0.979	0.969	0.961
Total	Renal_pelvis	80(71-89)	76(67-83)	65(59-70)	16(13-20)	0.993	0.991	0.987	0.98
Surgery	Sarcoma	92(78-96)	78(73-81)	59(55-63)	24(20-28)	0.992	0.99	0.976	0.964
Total	Sarcoma	87(75-95)	75(70-78)	56(52-59)	14(12-16)	0.994	0.991	0.977	0.966
Surgery	Stomach	82(78-85)	52(49-55)	33(31-36)	15(13-17)	0.99	0.977	0.973	0.964
Total	Stomach	68(66-70)	44(42-47)	29(27-31)	5(5-6)	0.989	0.977	0.973	0.965
