SEER_Draw	Stage	Index	alive_start	died	lost	css_i	css_c
Anus	I	1	1097	0	6	1	1
Anus	I	2	1091	0	3	1	1
Anus	I	3	1088	1	2	0.9990808823529411	0.9990808823529411
Anus	I	4	1085	1	1	0.9990783410138249	0.9981600704798047
Anus	I	5	1083	0	5	1	0.9981600704798047
Anus	I	6	1078	0	3	1	0.9981600704798047
Anus	I	7	1075	3	3	0.9972093023255814	0.9953745074924192
Anus	I	8	1069	2	1	0.9981290926099158	0.9935122539704502
Anus	I	9	1066	3	1	0.9971857410881801	0.9907162532557117
Anus	I	10	1062	2	6	0.9981167608286252	0.9888504975998628
Anus	I	11	1054	3	1	0.9971537001897534	0.986035932616182
Anus	I	12	1050	2	1	0.9980952380952381	0.9841577689350084
Anus	I	13	1047	5	0	0.9952244508118434	0.9794578751005528
Anus	I	14	1042	2	3	0.9980806142034548	0.9775779175667705
Anus	I	15	1037	1	4	0.9990356798457087	0.9766352194784708
Anus	I	16	1032	0	5	1	0.9766352194784708
Anus	I	17	1027	5	1	0.9951314508276533	0.9718804228889942
Anus	I	18	1021	2	1	0.9980411361410382	0.9699766414533645
Anus	I	19	1018	1	2	0.9990176817288802	0.9690238156759053
Anus	I	20	1015	5	1	0.9950738916256158	0.9642502993425266
Anus	I	21	1009	2	3	0.998017839444995	0.962339000434018
Anus	I	22	1004	1	2	0.999003984063745	0.961380495453506
Anus	I	23	1001	3	2	0.997002997002997	0.9584992352273717
Anus	I	24	996	7	2	0.9929718875502008	0.9517627948191472
Anus	I	25	987	3	0	0.9969604863221885	0.9488698987862623
Anus	I	26	984	2	3	0.9979674796747967	0.9469413014310056
Anus	I	27	979	2	2	0.9979570990806946	0.9450067941757839
Anus	I	28	975	1	3	0.9989743589743589	0.9440375564381678
Anus	I	29	971	2	1	0.9979402677651905	0.9420930918523013
Anus	I	30	968	1	0	0.9989669421487604	0.9411198551871647
Anus	I	31	967	3	1	0.9968976215098242	0.9382001451917547
Anus	I	32	963	0	0	1	0.9382001451917547
Anus	I	33	963	2	1	0.9979231568016614	0.9362516506015328
Anus	I	34	960	2	0	0.9979166666666667	0.9343011263294463
Anus	I	35	958	1	0	0.9989561586638831	0.9333258641934031
Anus	I	36	957	0	0	1	0.9333258641934031
Anus	I	37	957	2	4	0.9979101358411703	0.9313753399213165
Anus	I	38	951	1	0	0.9989484752891693	0.9303959757363309
Anus	I	39	950	1	0	0.9989473684210526	0.9294166115513453
Anus	I	40	949	2	4	0.9978925184404637	0.927457883181374
Anus	I	41	943	1	0	0.9989395546129375	0.9264743647474596
Anus	I	42	942	0	1	1	0.9264743647474596
Anus	I	43	941	0	2	1	0.9264743647474596
Anus	I	44	939	0	1	1	0.9264743647474596
Anus	I	45	938	2	2	0.997867803837953	0.9244989396627101
Anus	I	46	934	0	1	1	0.9244989396627101
Anus	I	47	933	1	1	0.9989281886387996	0.923508051195762
Anus	I	48	931	1	0	0.9989258861439313	0.9225160984017816
Anus	I	49	930	0	2	1	0.9225160984017816
Anus	I	50	928	1	2	0.9989224137931034	0.9215220077785038
Anus	I	51	925	0	2	1	0.9215220077785038
Anus	I	52	923	2	0	0.9978331527627302	0.9195252103618656
Anus	I	53	921	0	5	1	0.9195252103618656
Anus	I	54	916	0	2	1	0.9195252103618656
Anus	I	55	914	0	3	1	0.9195252103618656
Anus	I	56	911	2	5	0.9978046103183315	0.9175064942030031
Anus	I	57	904	1	2	0.9988938053097345	0.9164915533908315
Anus	I	58	901	1	6	0.9988901220865705	0.9154743596578784
Anus	I	59	894	1	4	0.9988814317673378	0.9144503391213483
Anus	I	60	889	2	1	0.9977502812148481	0.9123930830153385
Anus	I	61	886	1	3	0.9988713318284425	0.9113632939825899
Anus	I	62	882	1	6	0.9988662131519275	0.9103300022660563
Anus	I	63	875	1	3	0.9988571428571429	0.9092896251206094
Anus	I	64	871	0	5	1	0.9092896251206094
Anus	I	65	866	0	3	1	0.9092896251206094
Anus	I	66	863	0	9	1	0.9092896251206094
Anus	I	67	854	1	5	0.9988290398126464	0.9082248831708195
Anus	I	68	848	1	13	0.9988207547169812	0.90715386326142
Anus	I	69	834	1	10	0.9988009592326139	0.9060661487970777
Anus	I	70	823	0	16	1	0.9060661487970777
Anus	I	71	807	2	16	0.9975216852540273	0.9038206316996872
Anus	I	72	789	1	26	0.9987325728770595	0.9026751049167978
Anus	I	73	762	2	14	0.9973753280839895	0.900305878919641
Anus	I	74	746	0	7	1	0.900305878919641
Anus	I	75	739	1	15	0.9986468200270636	0.89908760303477
Anus	I	76	723	0	8	1	0.89908760303477
Anus	I	77	715	0	8	1	0.89908760303477
Anus	I	78	707	1	15	0.9985855728429985	0.8978159091125143
Anus	I	79	691	0	3	1	0.8978159091125143
Anus	I	80	688	0	8	1	0.8978159091125143
Anus	I	81	680	0	1	1	0.8978159091125143
Anus	I	82	679	0	4	1	0.8978159091125143
Anus	I	83	675	0	11	1	0.8978159091125143
Anus	I	84	664	0	10	1	0.8978159091125143
Anus	I	85	654	0	13	1	0.8978159091125143
Anus	I	86	641	0	9	1	0.8978159091125143
Anus	I	87	632	0	12	1	0.8978159091125143
Anus	I	88	620	0	17	1	0.8978159091125143
Anus	I	89	603	0	11	1	0.8978159091125143
Anus	I	90	592	1	12	0.9983108108108109	0.8962993281849594
Anus	I	91	579	0	18	1	0.8962993281849594
Anus	I	92	561	0	12	1	0.8962993281849594
Anus	I	93	549	0	9	1	0.8962993281849594
Anus	I	94	540	1	11	0.9981481481481481	0.8946395146142465
Anus	I	95	528	1	10	0.9981060606060606	0.8929451215941436
Anus	I	96	517	0	6	1	0.8929451215941436
Anus	I	97	511	1	11	0.9980430528375734	0.8911976751722374
Anus	I	98	499	1	7	0.9979959919839679	0.889411707887323
Anus	I	99	491	0	9	1	0.889411707887323
Anus	I	100	482	0	9	1	0.889411707887323
Anus	I	101	473	0	7	1	0.889411707887323
Anus	I	102	466	0	12	1	0.889411707887323
Anus	I	103	454	0	8	1	0.889411707887323
Anus	I	104	446	2	14	0.9955156950672646	0.8854233145784113
Anus	I	105	430	1	13	0.9976744186046511	0.8833641905910196
Anus	I	106	416	1	14	0.9975961538461539	0.881240718979022
Anus	I	107	401	0	8	1	0.881240718979022
Anus	I	108	393	0	4	1	0.881240718979022
Anus	I	109	389	1	7	0.9974293059125964	0.8789753186731633
Anus	I	110	381	1	15	0.9973753280839895	0.8766682968393755
Anus	I	111	365	0	6	1	0.8766682968393755
Anus	I	112	359	0	9	1	0.8766682968393755
Anus	I	113	350	1	9	0.9971428571428571	0.8741635302769772
Anus	I	114	340	0	7	1	0.8741635302769772
Anus	I	115	333	0	5	1	0.8741635302769772
Anus	I	116	328	1	5	0.9969512195121951	0.8714983975627182
Anus	I	117	322	1	9	0.9968944099378882	0.8687918808001011
Anus	I	118	312	0	8	1	0.8687918808001011
Anus	I	119	304	0	9	1	0.8687918808001011
Anus	I	120	295	0	5	1	0.8687918808001011
Anus	I	121	290	2	5	0.993103448275862	0.8628002126566521
Anus	I	122	283	0	6	1	0.8628002126566521
Anus	I	123	277	0	5	1	0.8628002126566521
Anus	I	124	272	1	7	0.9963235294117647	0.8596281530512967
Anus	I	125	264	0	4	1	0.8596281530512967
Anus	I	126	260	1	3	0.9961538461538462	0.8563218909241764
