SEER_Draw	Stage	Index	alive_start	died	lost	css_i	css_c
Anus	I	1	2021	1	11	0.9995051954477981	0.9995051954477981
Anus	I	2	2009	5	6	0.9975111996017919	0.9970176265193567
Anus	I	3	1998	6	3	0.996996996996997	0.994023579592872
Anus	I	4	1989	2	3	0.9989944695827049	0.9930240586480829
Anus	I	5	1984	5	4	0.9974798387096774	0.9905214778551188
Anus	I	6	1975	7	0	0.9964556962025316	0.987010768819683
Anus	I	7	1968	8	3	0.9959349593495935	0.982998529922042
Anus	I	8	1957	6	2	0.9969340827797649	0.9799847378016883
Anus	I	9	1949	4	6	0.9979476654694716	0.9779734812849069
Anus	I	10	1939	5	1	0.997421351211965	0.9754516311526612
Anus	I	11	1933	4	4	0.9979306777030522	0.9734331073427229
Anus	I	12	1925	4	3	0.9979220779220779	0.9714103891975951
Anus	I	13	1918	4	6	0.9979144942648592	0.9693845072597482
Anus	I	14	1908	6	3	0.9968553459119497	0.9663361283061013
Anus	I	15	1899	8	3	0.9957872564507636	0.9622652020151856
Anus	I	16	1888	4	3	0.9978813559322034	0.9602265045532891
Anus	I	17	1881	7	1	0.9962785752259437	0.9566530938505389
Anus	I	18	1873	4	4	0.99786438868126	0.9546100546752041
Anus	I	19	1865	7	2	0.9962466487935657	0.9510270678748146
Anus	I	20	1856	6	4	0.9967672413793104	0.9479526269226332
Anus	I	21	1846	1	3	0.9994582881906826	0.9474391097899557
Anus	I	22	1842	4	4	0.997828447339848	0.9453816958707593
Anus	I	23	1834	3	5	0.9983642311886587	0.943835269977841
Anus	I	24	1826	4	5	0.9978094194961665	0.9417677228365972
Anus	I	25	1817	6	6	0.9966978536048432	0.9386578679455572
Anus	I	26	1805	5	1	0.997229916897507	0.9360577076465391
Anus	I	27	1799	5	3	0.9972206781545303	0.9334561020110568
Anus	I	28	1791	1	2	0.9994416527079844	0.9329349093242834
Anus	I	29	1788	3	6	0.9983221476510067	0.9313695822952158
Anus	I	30	1779	4	6	0.9977515458122541	0.9292754404575649
Anus	I	31	1769	1	2	0.9994347088750707	0.9287501292984596
Anus	I	32	1766	2	2	0.9988674971687429	0.9276983171474986
Anus	I	33	1762	3	3	0.9982973893303064	0.9261188080944666
Anus	I	34	1756	1	4	0.9994305239179955	0.9255914055841622
Anus	I	35	1751	4	3	0.9977155910908052	0.9234769763309716
Anus	I	36	1744	1	4	0.9994266055045872	0.9229474597161029
Anus	I	37	1739	5	5	0.9971247843588269	0.9202937867439462
Anus	I	38	1729	4	4	0.9976865240023135	0.918164709157494
Anus	I	39	1721	1	2	0.999418942475305	0.9176312026443287
Anus	I	40	1718	3	4	0.9982537834691502	0.9160288198690476
Anus	I	41	1711	1	1	0.9994155464640561	0.9154934435862486
Anus	I	42	1709	2	4	0.9988297249853716	0.9144220644831635
Anus	I	43	1703	3	4	0.9982384028185555	0.9128112211517193
Anus	I	44	1696	2	6	0.9988207547169812	0.9117347928248895
Anus	I	45	1688	3	5	0.9982227488151659	0.910114411084087
Anus	I	46	1680	1	2	0.9994047619047619	0.9095726763155846
Anus	I	47	1677	2	5	0.9988073941562313	0.9084879146264783
Anus	I	48	1670	1	3	0.9994011976047904	0.907943909887181
Anus	I	49	1666	2	5	0.9987995198079231	0.9068539412078446
Anus	I	50	1659	2	4	0.9987944544906571	0.9057606875113915
Anus	I	51	1653	1	5	0.999395039322444	0.905212737912171
Anus	I	52	1647	0	7	1	0.905212737912171
Anus	I	53	1640	5	4	0.9969512195121951	0.902452942979512
Anus	I	54	1631	4	7	0.9975475168608215	0.9002396923529528
Anus	I	55	1620	0	8	1	0.9002396923529528
Anus	I	56	1612	1	6	0.999379652605459	0.8996812310053393
Anus	I	57	1605	1	7	0.9993769470404984	0.8991206819517533
Anus	I	58	1597	1	8	0.9993738259236068	0.8985576758891661
Anus	I	59	1588	1	9	0.9993702770780857	0.8979918335239967
Anus	I	60	1578	1	9	0.9993662864385298	0.897422763921003
Anus	I	61	1568	0	1	1	0.897422763921003
Anus	I	62	1567	2	9	0.9987236758136566	0.8962773615420355
Anus	I	63	1556	1	11	0.9993573264781491	0.895701347813538
Anus	I	64	1544	2	14	0.9987046632124352	0.8945411129070439
Anus	I	65	1528	3	3	0.9980366492146597	0.8927848149104987
Anus	I	66	1522	1	9	0.9993429697766097	0.8921982283041185
Anus	I	67	1512	1	10	0.9993386243386243	0.8916081501107957
Anus	I	68	1501	1	14	0.9993337774816788	0.8910141406836732
Anus	I	69	1486	0	19	1	0.8910141406836732
Anus	I	70	1467	2	18	0.9986366734832992	0.8897993974789238
Anus	I	71	1447	2	27	0.9986178299930891	0.8885695434395611
Anus	I	72	1418	2	19	0.998589562764457	0.8873162718691244
Anus	I	73	1397	4	34	0.9971367215461704	0.8847756383061491
Anus	I	74	1359	0	17	1	0.8847756383061491
Anus	I	75	1342	1	27	0.9992548435171386	0.8841163420033875
Anus	I	76	1314	1	14	0.9992389649923896	0.8834434985163224
Anus	I	77	1299	2	20	0.9984603541185527	0.8820833083723404
Anus	I	78	1277	0	13	1	0.8820833083723404
Anus	I	79	1264	1	15	0.9992088607594937	0.8813854576536914
Anus	I	80	1248	0	25	1	0.8813854576536914
Anus	I	81	1223	2	14	0.9983646770237122	0.8799441077638244
Anus	I	82	1207	2	16	0.9983429991714996	0.8784860396482257
Anus	I	83	1189	2	17	0.9983179142136249	0.8770083507674045
Anus	I	84	1170	0	19	1	0.8770083507674045
Anus	I	85	1151	0	18	1	0.8770083507674045
Anus	I	86	1133	1	20	0.999117387466902	0.8762342922053856
Anus	I	87	1112	1	25	0.9991007194244604	0.8754463117267837
Anus	I	88	1086	1	15	0.9990791896869244	0.8746401917344017
Anus	I	89	1070	0	27	1	0.8746401917344017
Anus	I	90	1043	1	25	0.9990412272291467	0.8738016105342729
Anus	I	91	1017	1	23	0.9990167158308751	0.8729424152436787
Anus	I	92	993	1	19	0.998992950654582	0.8720633191558199
Anus	I	93	973	0	18	1	0.8720633191558199
Anus	I	94	955	0	15	1	0.8720633191558199
Anus	I	95	940	2	17	0.997872340425532	0.8702078652852757
Anus	I	96	921	1	15	0.998914223669924	0.869263014182903
Anus	I	97	905	0	17	1	0.869263014182903
Anus	I	98	888	2	15	0.9977477477477478	0.86730521460141
Anus	I	99	871	1	10	0.9988518943742825	0.8663094566053119
Anus	I	100	860	0	12	1	0.8663094566053119
Anus	I	101	848	0	21	1	0.8663094566053119
Anus	I	102	827	0	13	1	0.8663094566053119
Anus	I	103	814	1	14	0.9987714987714987	0.86524519437361
Anus	I	104	799	0	16	1	0.86524519437361
Anus	I	105	783	1	20	0.9987228607918263	0.8641401558111916
Anus	I	106	762	1	18	0.9986876640419947	0.8630061136119642
Anus	I	107	743	0	16	1	0.8630061136119642
Anus	I	108	727	0	23	1	0.8630061136119642
Anus	I	109	704	0	17	1	0.8630061136119642
Anus	I	110	687	1	15	0.9985443959243085	0.8617499183956441
Anus	I	111	671	0	17	1	0.8617499183956441
Anus	I	112	654	0	11	1	0.8617499183956441
Anus	I	113	643	1	11	0.9984447900466563	0.8604097163452621
Anus	I	114	631	0	17	1	0.8604097163452621
Anus	I	115	614	1	20	0.998371335504886	0.8590083975889994
Anus	I	116	593	1	7	0.9983136593591906	0.8575598168173485
Anus	I	117	585	1	13	0.9982905982905983	0.8560939026005667
Anus	I	118	571	0	14	1	0.8560939026005667
Anus	I	119	557	1	15	0.9982046678635548	0.8545569297054131
Anus	I	120	541	0	15	1	0.8545569297054131
Anus	I	121	526	2	12	0.9961977186311787	0.851307663812997
Anus	I	122	512	0	9	1	0.851307663812997
Anus	I	123	503	0	18	1	0.851307663812997
Anus	I	124	485	0	19	1	0.851307663812997
Anus	I	125	466	0	14	1	0.851307663812997
Anus	I	126	452	1	9	0.9977876106194691	0.8494242397780126
Anus	I	127	442	0	11	1	0.8494242397780126
Anus	I	128	431	0	9	1	0.8494242397780126
Anus	I	129	422	0	11	1	0.8494242397780126
Anus	I	130	411	1	14	0.9975669099756691	0.8473575141337839
Anus	I	131	396	1	11	0.9974747474747475	0.8452177224314259
Anus	I	132	384	0	8	1	0.8452177224314259
Anus	I	133	376	0	11	1	0.8452177224314259
Anus	I	134	365	1	6	0.9972602739726028	0.842902057438463
Anus	I	135	358	0	11	1	0.842902057438463
Anus	I	136	347	0	12	1	0.842902057438463
Anus	I	137	335	0	11	1	0.842902057438463
Anus	I	138	324	0	16	1	0.842902057438463
Anus	I	139	308	0	8	1	0.842902057438463
Anus	I	140	300	1	10	0.9966666666666667	0.8400923839136683
Anus	I	141	289	0	9	1	0.8400923839136683
Anus	I	142	280	0	12	1	0.8400923839136683
Anus	I	143	268	0	9	1	0.8400923839136683
Anus	I	144	259	0	13	1	0.8400923839136683
Anus	I	145	246	0	5	1	0.8400923839136683
Anus	I	146	241	0	11	1	0.8400923839136683
Anus	I	147	230	0	11	1	0.8400923839136683
Anus	I	148	219	0	10	1	0.8400923839136683
Anus	I	149	209	1	7	0.9952153110047847	0.8360728031293923
Anus	I	150	201	0	8	1	0.8360728031293923
Anus	I	151	193	0	8	1	0.8360728031293923
Anus	I	152	185	0	9	1	0.8360728031293923
Anus	I	153	176	0	8	1	0.8360728031293923
Anus	I	154	168	0	11	1	0.8360728031293923
Anus	I	155	157	0	9	1	0.8360728031293923
Anus	I	156	148	0	7	1	0.8360728031293923
Anus	I	157	141	0	11	1	0.8360728031293923
Anus	I	158	130	0	10	1	0.8360728031293923
Anus	I	159	120	0	11	1	0.8360728031293923
Anus	I	160	109	0	6	1	0.8360728031293923
Anus	I	161	103	0	13	1	0.8360728031293923
Anus	I	162	90	0	10	1	0.8360728031293923
Anus	I	163	80	0	3	1	0.8360728031293923
Anus	I	164	77	0	3	1	0.8360728031293923
Anus	I	165	74	0	6	1	0.8360728031293923
Anus	I	166	68	0	13	1	0.8360728031293923
Anus	I	167	55	0	12	1	0.8360728031293923
Anus	I	168	43	0	9	1	0.8360728031293923
Anus	I	169	34	0	6	1	0.8360728031293923
Anus	I	170	28	0	10	1	0.8360728031293923
Anus	I	171	18	0	3	1	0.8360728031293923
Anus	I	172	15	0	2	1	0.8360728031293923
Anus	I	173	13	0	5	1	0.8360728031293923
Anus	I	174	8	0	2	1	0.8360728031293923
Anus	I	175	6	0	1	1	0.8360728031293923
Anus	I	176	5	0	0	1	0.8360728031293923
Anus	I	177	5	0	0	1	0.8360728031293923
Anus	I	178	5	0	0	1	0.8360728031293923
Anus	I	179	5	0	5	1	0.8360728031293923
Anus	II	1	3057	7	21	0.9977101733725875	0.9977101733725875
Anus	II	2	3029	18	10	0.9940574447012215	0.991781225495167
Anus	II	3	3001	11	9	0.996334555148284	0.9881459061081471
Anus	II	4	2981	17	6	0.9942972156994297	0.9825107231481208
Anus	II	5	2958	14	11	0.9952670723461798	0.9778605709763583
Anus	II	6	2933	10	13	0.9965905216501875	0.974526576530479
Anus	II	7	2910	19	7	0.9934707903780069	0.9681636882301082
Anus	II	8	2884	7	8	0.9975728155339806	0.965813776365472
Anus	II	9	2869	17	10	0.994074590449634	0.9600909341911209
Anus	II	10	2842	13	13	0.9954257565095004	0.9556992444851096
Anus	II	11	2816	9	6	0.9968039772727273	0.9526448079792977
Anus	II	12	2801	17	7	0.993930739021778	0.9468629580201232
Anus	II	13	2777	12	9	0.9956787900612172	0.9427713643952613
Anus	II	14	2756	15	12	0.9945573294629898	0.9376401704671303
Anus	II	15	2729	9	6	0.9967020886771711	0.9345479163322076
Anus	II	16	2714	19	2	0.9929992630803243	0.9280053922311347
Anus	II	17	2693	17	5	0.993687337541775	0.9221472074305668
Anus	II	18	2671	15	11	0.9943841257955822	0.9169685447156816
Anus	II	19	2645	14	6	0.9947069943289225	0.9121150250083018
