status	SEER_Draw	Stage	coef_a_weibull	sd_a	coef_b_weibull	sd_b	coef_lts_fraction	sd_lts	lb_lts	ub_lts	coef_recur_month	sd_recur	lb_recur	ub_recur
40-54	Anus	I	1.3369537317782614	0.19693525059358935	-4.868308553667257	0.6612675602688931	0.9250042221946255	0.03071479866931928	0.8422486737049908	0.9636199934784475	4.934257423331707e-4	2.0867998437437143e-4	4.046413076585132e-5	8.546878674626737e-4
40-54	Anus	II	1.2613836413032258	0.14144305749329783	-3.986900795096189	0.34939857443741135	0.8622375503321296	0.03442510293000173	0.7624811747266591	0.8995724581888923	8.716910635121994e-4	2.347767538853811e-4	2.6718073736210627e-4	0.001204872600641084
40-54	Anus	III	1.5103843368750791	0.06709569254423801	-4.861903596127444	0.23857383917960368	0.7237237315799921	0.01985289574146629	0.68088438244441	0.7599371069070794	9.452136191217598e-4	2.2132005645501035e-4	4.21814658160751e-4	0.0012931973471380176
40-54	Anus	IV	1.2270387063776522	0.05561419827500126	-3.324824336735806	0.1897204641229954	0.3108931534918603	0.03238819650757379	0.2503769185730564	0.37783725650751876	0.00261911335449672	5.265770226422816e-4	0.0014263368048623565	0.0033032350325906622
55-64	Anus	I	1.3381398770445474	0.19410042369168556	-4.792202863076705	0.7181873456753691	0.9311424517417612	0.02339461264158534	0.8707821728367522	0.9638619710156748	5.582901625407458e-4	1.6092383760088437e-4	2.0405738252292065e-4	8.420317606472559e-4
55-64	Anus	II	1.504242758750924	0.09279518515644532	-5.092900544751824	0.3637756200242531	0.8654322427434351	0.016651957968900954	0.8306100675113857	0.8957497179046626	7.368884958364198e-4	1.5273085479073712e-4	4.405543039346556e-4	0.0010387420507887036
55-64	Anus	III	1.475300228832327	0.0627049705460376	-4.782171702027515	0.23286164561336678	0.7374890489072556	0.018913164222983708	0.7009075064299691	0.7738616734196484	0.0011734282170650832	2.1093210944756098e-4	8.07851481566275e-4	0.0016282969773937551
55-64	Anus	IV	1.2644751299372943	0.05838891714944097	-3.631072350238276	0.20885495261467324	0.21738854237090643	0.02953250367907716	0.1627585504925299	0.2793781794391418	0.001762394683049846	5.813772737094234e-4	9.946810880533106e-4	0.0031426288188117963
65-74	Anus	I	0.9298992036199016	0.1114765360655279	-3.5554348106592792	0.41189336422647693	0.8356424543285914	0.02946110193492863	0.7833801528820264	0.9010418888672065	6.16132476124839e-5	1.450547872661002e-4	3.0865918997507165e-7	5.282898343037672e-4
65-74	Anus	II	1.06795972894515	0.08251280713794025	-3.632547009380514	0.29931592724553113	0.7956498620556771	0.024388442743068135	0.7512019818773892	0.8477789896480469	1.4265659723406468e-4	1.897266953224021e-4	1.5673840130211976e-6	6.714634480551744e-4
