SEER_Draw	cure_fraction_I	cure_fraction_II	cure_fraction_III	cure_fraction_IV	excess_risk_I	excess_risk_II	excess_risk_III	excess_risk_IV
Anus	93(89-95)	87(84-89)	71(69-73)	24(21-28)	0.992	0.989	0.988	0.971
Bladder	91(88-93)	66(64-68)	54(52-57)	20(19-22)	0.985	0.978	0.969	0.961
Breast_HR_negative	95(94-95)	84(83-85)	57(56-59)	21(19-22)	0.997	0.995	0.992	0.961
Breast_HR_positive	89(86-90)	81(80-83)	57(56-59)	4(2-6)	1	1	1	1
Breast_HR_unknown	86(80-94)	82(78-87)	58(47-72)	5(2-8)	0.998	0.998	0.989	0.976
Breast	88(85-90)	82(81-83)	57(56-60)	5(4-7)	1	1	0.999	0.998
Cervix_adeno	93(87-95)	59(53-66)	52(46-58)	20(17-24)	0.995	0.992	0.977	0.967
Cervix_squamous	95(94-96)	81(79-84)	58(56-60)	23(21-25)	0.992	0.983	0.981	0.962
Cervix	95(94-96)	78(76-81)	56(54-59)	21(19-22)	0.993	0.983	0.977	0.962
Colon_Rectum	67(62-76)	66(61-72)	58(56-61)	7(7-8)	0.999	0.999	0.998	0.989
Esophagus_adeno	66(59-72)	39(36-42)	23(21-25)	5(5-6)	0.985	0.964	0.962	0.961
Esophagus_squamous	35(32-38)	34(31-37)	24(22-27)	7(6-8)	0.967	0.964	0.962	0.961
Esophagus	53(48-58)	38(35-40)	23(22-25)	5(5-6)	0.992	0.965	0.962	0.961
Gallbladder	47(44-51)	25(23-27)	20(17-23)	2(2-3)	0.996	0.97	0.965	0.962
Head_and_Neck	94(91-95)	87(86-89)	78(77-79)	62(61-63)	0.988	0.979	0.975	0.974
Hodgkin_lymphoma	91(88-93)	91(88-92)	83(79-85)	74(71-77)	0.996	0.995	0.99	0.987
Kidney	98(91-100)	92(89-96)	90(88-91)	13(12-14)	0.992	0.982	0.967	0.961
Liver_Bile_duct	31(28-33)	30(28-33)	8(7-9)	2(2-3)	0.987	0.985	0.962	0.961
Lung_NET_excl_SCLC	78(73-82)	50(42-59)	21(18-24)	5(4-6)	0.984	0.972	0.966	0.962
Lung_NET_incl_SCLC	58(55-61)	32(28-36)	15(14-15)	2(2-2)	0.976	0.964	0.961	0.961
Lung_adeno	78(73-82)	42(36-45)	21(20-21)	6(6-6)	0.975	0.965	0.962	0.961
Lung_other	47(39-52)	32(29-35)	16(15-17)	4(4-5)	0.969	0.967	0.961	0.961
Lung_small_cell	37(33-41)	23(19-27)	14(13-15)	1(1-2)	0.964	0.963	0.961	0.961
Lung_squamous	63(60-66)	40(37-42)	20(19-20)	6(5-6)	0.964	0.962	0.961	0.961
Lung	72(69-74)	41(39-42)	19(18-19)	4(4-4)	0.97	0.962	0.961	0.961
Lymphoma	90(89-91)	86(85-86)	79(78-80)	72(71-73)	0.989	0.988	0.983	0.98
Melanoma	95(94-95)	82(80-84)	64(62-67)	24(22-25)	1	0.991	0.982	0.962
Non_Hodgkin_lymphoma	90(89-91)	84(83-85)	79(78-80)	72(71-73)	0.989	0.988	0.981	0.979
Ovary	78(72-81)	53(47-59)	15(14-17)	4(3-6)	1	1	0.999	0.996
Pancreas	40(38-42)	14(14-15)	3(3-4)	2(2-3)	0.975	0.962	0.961	0.961
Prostate	78(75-81)	76(73-79)	73(71-76)	31(28-32)	1	1	1	0.999
Renal_parenchyma	99(93-100)	92(89-96)	89(87-91)	13(13-14)	0.992	0.981	0.967	0.961
Renal_pelvis	78(70-90)	72(63-83)	65(58-72)	15(12-17)	0.995	0.99	0.984	0.966
Sarcoma	94(85-97)	80(76-84)	56(52-60)	11(10-13)	0.988	0.983	0.972	0.963
Stomach	65(62-68)	39(36-43)	25(23-27)	5(5-6)	0.99	0.973	0.97	0.961
Thyroid	98(95-99)	95(91-97)	92(88-96)	85(83-86)	1	1	1	0.979
Urothelial_Tract	81(71-88)	71(62-77)	56(51-60)	16(15-19)	0.992	0.988	0.985	0.963
Uterus	96(95-96)	86(84-87)	66(64-68)	20(18-21)	0.997	0.994	0.991	0.962
