status	SEER_Draw	cure_fraction_I	cure_fraction_II	cure_fraction_III	cure_fraction_IV	excess_risk_I	excess_risk_II	excess_risk_III	excess_risk_IV
Surgery	Anus	93(89-96)	85(81-88)	61(56-66)	18(10-28)	0.993	0.99	0.988	0.969
Total	Anus	93(89-95)	87(84-89)	71(69-73)	24(21-28)	0.992	0.989	0.988	0.971
Surgery	Bladder	92(90-93)	67(65-69)	57(55-60)	21(20-23)	0.984	0.977	0.965	0.961
Total	Bladder	91(88-93)	66(64-68)	54(52-57)	20(19-22)	0.985	0.978	0.969	0.961
Surgery	Breast	91(90-92)	83(82-83)	76(73-79)	32(28-35)	1	1	0.984	0.966
Total	Breast	88(85-90)	82(81-83)	57(56-60)	5(4-7)	1	1	0.999	0.998
Total	Breast_HR_negative	95(94-95)	84(83-85)	57(56-59)	21(19-22)	0.997	0.995	0.992	0.961
Total	Breast_HR_positive	89(86-90)	81(80-83)	57(56-59)	4(2-6)	1	1	1	1
Total	Breast_HR_unknown	86(80-94)	82(78-87)	58(47-72)	5(2-8)	0.998	0.998	0.989	0.976
Surgery	Cervix	94(93-96)	74(69-80)	67(62-72)	43(38-49)	0.997	0.991	0.987	0.969
Total	Cervix	95(94-96)	78(76-81)	56(54-59)	21(19-22)	0.993	0.983	0.977	0.962
Total	Cervix_adeno	93(87-95)	59(53-66)	52(46-58)	20(17-24)	0.995	0.992	0.977	0.967
Total	Cervix_squamous	95(94-96)	81(79-84)	58(56-60)	23(21-25)	0.992	0.983	0.981	0.962
Surgery	Colon_Rectum	68(65-71)	67(64-69)	58(57-60)	13(12-14)	1	1	0.999	0.984
Total	Colon_Rectum	67(62-76)	66(61-72)	58(56-61)	7(7-8)	0.999	0.999	0.998	0.989
Surgery	Esophagus	86(79-90)	53(49-57)	32(29-35)	24(20-28)	0.985	0.973	0.969	0.965
Total	Esophagus	53(48-58)	38(35-40)	23(22-25)	5(5-6)	0.992	0.965	0.962	0.961
Total	Esophagus_adeno	66(59-72)	39(36-42)	23(21-25)	5(5-6)	0.985	0.964	0.962	0.961
Total	Esophagus_squamous	35(32-38)	34(31-37)	24(22-27)	7(6-8)	0.967	0.964	0.962	0.961
Surgery	Gallbladder	60(56-64)	28(25-31)	24(21-28)	6(4-7)	0.992	0.979	0.973	0.964
Total	Gallbladder	47(44-51)	25(23-27)	20(17-23)	2(2-3)	0.996	0.97	0.965	0.962
Surgery	Head_and_Neck	96(95-97)	90(89-91)	83(81-84)	73(72-74)	0.989	0.985	0.979	0.971
Total	Head_and_Neck	94(91-95)	87(86-89)	78(77-79)	62(61-63)	0.988	0.979	0.975	0.974
Total	Hodgkin_lymphoma	91(88-93)	91(88-92)	83(79-85)	74(71-77)	0.996	0.995	0.99	0.987
Surgery	Kidney	93(90-96)	90(89-93)	90(88-91)	23(21-24)	0.994	0.984	0.968	0.961
Total	Kidney	98(91-100)	92(89-96)	90(88-91)	13(12-14)	0.992	0.982	0.967	0.961
Surgery	Liver_Bile_duct	54(49-58)	53(49-57)	22(18-25)	14(10-20)	0.987	0.986	0.968	0.964
Total	Liver_Bile_duct	31(28-33)	30(28-33)	8(7-9)	2(2-3)	0.987	0.985	0.962	0.961
Surgery	Lung	86(81-89)	54(52-56)	44(42-45)	25(23-27)	0.97	0.963	0.961	0.961
Total	Lung	72(69-74)	41(39-42)	19(18-19)	4(4-4)	0.97	0.962	0.961	0.961
Total	Lung_NET_excl_SCLC	78(73-82)	50(42-59)	21(18-24)	5(4-6)	0.984	0.972	0.966	0.962
Total	Lung_NET_incl_SCLC	58(55-61)	32(28-36)	15(14-15)	2(2-2)	0.976	0.964	0.961	0.961
Total	Lung_adeno	78(73-82)	42(36-45)	21(20-21)	6(6-6)	0.975	0.965	0.962	0.961
Total	Lung_other	47(39-52)	32(29-35)	16(15-17)	4(4-5)	0.969	0.967	0.961	0.961
Total	Lung_small_cell	37(33-41)	23(19-27)	14(13-15)	1(1-2)	0.964	0.963	0.961	0.961
Total	Lung_squamous	63(60-66)	40(37-42)	20(19-20)	6(5-6)	0.964	0.962	0.961	0.961
Surgery	Lymphoma	93(92-94)	89(88-90)	82(80-84)	76(74-78)	0.989	0.988	0.982	0.978
Total	Lymphoma	90(89-91)	86(85-86)	79(78-80)	72(71-73)	0.989	0.988	0.983	0.98
Surgery	Melanoma	95(94-95)	82(80-83)	63(60-65)	27(24-31)	1	0.992	0.984	0.969
Total	Melanoma	95(94-95)	82(80-84)	64(62-67)	24(22-25)	1	0.991	0.982	0.962
Total	Non_Hodgkin_lymphoma	90(89-91)	84(83-85)	79(78-80)	72(71-73)	0.989	0.988	0.981	0.979
Surgery	Ovary	84(80-90)	73(61-80)	32(28-35)	18(16-20)	0.998	0.989	0.966	0.963
Total	Ovary	78(72-81)	53(47-59)	15(14-17)	4(3-6)	1	1	0.999	0.996
Surgery	Pancreas	64(58-71)	22(20-23)	17(15-19)	16(14-18)	0.989	0.962	0.961	0.961
Total	Pancreas	40(38-42)	14(14-15)	3(3-4)	2(2-3)	0.975	0.962	0.961	0.961
Surgery	Prostate	88(85-91)	86(81-88)	78(73-80)	56(54-63)	1	1	1	0.999
Total	Prostate	78(75-81)	76(73-79)	73(71-76)	31(28-32)	1	1	1	0.999
Total	Renal_parenchyma	99(93-100)	92(89-96)	89(87-91)	13(13-14)	0.992	0.981	0.967	0.961
Total	Renal_pelvis	78(70-90)	72(63-83)	65(58-72)	15(12-17)	0.995	0.99	0.984	0.966
Surgery	Sarcoma	93(85-96)	83(80-87)	58(54-63)	21(18-24)	0.99	0.984	0.976	0.963
Total	Sarcoma	94(85-97)	80(76-84)	56(52-60)	11(10-13)	0.988	0.983	0.972	0.963
Surgery	Stomach	82(78-84)	47(43-51)	30(27-32)	13(12-15)	0.989	0.975	0.971	0.962
Total	Stomach	65(62-68)	39(36-43)	25(23-27)	5(5-6)	0.99	0.973	0.97	0.961
Surgery	Thyroid	98(96-99)	96(94-97)	93(92-95)	92(90-93)	1	1	1	0.981
Total	Thyroid	98(95-99)	95(91-97)	92(88-96)	85(83-86)	1	1	1	0.979
Surgery	Urothelial_Tract	86(74-91)	75(67-80)	57(53-61)	22(19-25)	0.99	0.987	0.983	0.969
Total	Urothelial_Tract	81(71-88)	71(62-77)	56(51-60)	16(15-19)	0.992	0.988	0.985	0.963
Surgery	Uterus	96(95-96)	86(84-88)	71(69-73)	25(23-28)	0.998	0.996	0.988	0.969
Total	Uterus	96(95-96)	86(84-87)	66(64-68)	20(18-21)	0.997	0.994	0.991	0.962
