SEER_Draw	Stage	Sex	Lower	Upper	Index	alive_start	died	lost	css_i	css_c
Gallbladder	I	Female	40	44	1	41	2	0	0.9512195121951219	0.9512195121951219
Gallbladder	I	Female	40	44	2	39	1	1	0.9743589743589743	0.9268292682926829
Gallbladder	I	Female	40	44	3	37	0	1	1	0.9268292682926829
Gallbladder	I	Female	40	44	4	36	0	0	1	0.9268292682926829
Gallbladder	I	Female	40	44	5	36	0	0	1	0.9268292682926829
Gallbladder	I	Female	40	44	6	36	0	0	1	0.9268292682926829
Gallbladder	I	Female	40	44	7	36	0	0	1	0.9268292682926829
Gallbladder	I	Female	40	44	8	36	1	1	0.9722222222222222	0.9010840108401084
Gallbladder	I	Female	40	44	9	34	0	0	1	0.9010840108401084
Gallbladder	I	Female	40	44	10	34	0	0	1	0.9010840108401084
Gallbladder	I	Female	40	44	11	34	0	0	1	0.9010840108401084
Gallbladder	I	Female	40	44	12	34	0	0	1	0.9010840108401084
Gallbladder	I	Female	40	44	13	34	0	0	1	0.9010840108401084
Gallbladder	I	Female	40	44	14	34	1	0	0.9705882352941176	0.8745815399330463
Gallbladder	I	Female	40	44	15	33	1	0	0.9696969696969697	0.8480790690259843
Gallbladder	I	Female	40	44	16	32	1	0	0.96875	0.8215765981189224
Gallbladder	I	Female	40	44	17	31	0	0	1	0.8215765981189224
Gallbladder	I	Female	40	44	18	31	0	0	1	0.8215765981189224
Gallbladder	I	Female	40	44	19	31	0	0	1	0.8215765981189224
Gallbladder	I	Female	40	44	20	31	0	0	1	0.8215765981189224
Gallbladder	I	Female	40	44	21	31	0	0	1	0.8215765981189224
Gallbladder	I	Female	40	44	22	31	0	0	1	0.8215765981189224
Gallbladder	I	Female	40	44	23	31	0	0	1	0.8215765981189224
Gallbladder	I	Female	40	44	24	31	1	0	0.967741935483871	0.7950741272118603
Gallbladder	I	Female	40	44	25	30	0	0	1	0.7950741272118603
Gallbladder	I	Female	40	44	26	30	1	0	0.9666666666666667	0.7685716563047983
Gallbladder	I	Female	40	44	27	29	0	0	1	0.7685716563047983
Gallbladder	I	Female	40	44	28	29	0	0	1	0.7685716563047983
Gallbladder	I	Female	40	44	29	29	1	0	0.9655172413793104	0.7420691853977364
Gallbladder	I	Female	40	44	30	28	1	0	0.9642857142857143	0.7155667144906743
Gallbladder	I	Female	40	44	31	27	0	0	1	0.7155667144906743
Gallbladder	I	Female	40	44	32	27	0	0	1	0.7155667144906743
Gallbladder	I	Female	40	44	33	27	0	0	1	0.7155667144906743
Gallbladder	I	Female	40	44	34	27	1	0	0.962962962962963	0.6890642435836124
Gallbladder	I	Female	40	44	35	26	3	0	0.8846153846153846	0.6095568308624263
Gallbladder	I	Female	40	44	36	23	0	0	1	0.6095568308624263
Gallbladder	I	Female	40	44	37	23	0	0	1	0.6095568308624263
Gallbladder	I	Female	40	44	38	23	0	0	1	0.6095568308624263
Gallbladder	I	Female	40	44	39	23	0	0	1	0.6095568308624263
Gallbladder	I	Female	40	44	40	23	0	0	1	0.6095568308624263
Gallbladder	I	Female	40	44	41	23	0	0	1	0.6095568308624263
Gallbladder	I	Female	40	44	42	23	0	0	1	0.6095568308624263
Gallbladder	I	Female	40	44	43	23	0	0	1	0.6095568308624263
Gallbladder	I	Female	40	44	44	23	0	0	1	0.6095568308624263
Gallbladder	I	Female	40	44	45	23	0	0	1	0.6095568308624263
Gallbladder	I	Female	40	44	46	23	0	0	1	0.6095568308624263
Gallbladder	I	Female	40	44	47	23	1	0	0.9565217391304348	0.5830543599553644
Gallbladder	I	Female	40	44	48	22	0	0	1	0.5830543599553644
Gallbladder	I	Female	40	44	49	22	0	0	1	0.5830543599553644
Gallbladder	I	Female	40	44	50	22	0	0	1	0.5830543599553644
Gallbladder	I	Female	40	44	51	22	1	0	0.9545454545454546	0.5565518890483023
Gallbladder	I	Female	40	44	52	21	0	0	1	0.5565518890483023
Gallbladder	I	Female	40	44	53	21	0	0	1	0.5565518890483023
Gallbladder	I	Female	40	44	54	21	0	0	1	0.5565518890483023
Gallbladder	I	Female	40	44	55	21	1	0	0.9523809523809523	0.5300494181412403
Gallbladder	I	Female	40	44	56	20	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	57	20	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	58	20	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	59	20	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	60	20	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	61	20	0	1	1	0.5300494181412403
Gallbladder	I	Female	40	44	62	19	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	63	19	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	64	19	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	65	19	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	66	19	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	67	19	0	1	1	0.5300494181412403
Gallbladder	I	Female	40	44	68	18	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	69	18	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	70	18	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	71	18	0	1	1	0.5300494181412403
Gallbladder	I	Female	40	44	72	17	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	73	17	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	74	17	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	75	17	0	2	1	0.5300494181412403
Gallbladder	I	Female	40	44	76	15	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	77	15	0	1	1	0.5300494181412403
Gallbladder	I	Female	40	44	78	14	0	1	1	0.5300494181412403
Gallbladder	I	Female	40	44	79	13	0	1	1	0.5300494181412403
Gallbladder	I	Female	40	44	80	12	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	81	12	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	82	12	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	83	12	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	84	12	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	85	12	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	86	12	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	87	12	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	88	12	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	89	12	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	90	12	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	91	12	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	92	12	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	93	12	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	94	12	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	95	12	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	96	12	0	1	1	0.5300494181412403
Gallbladder	I	Female	40	44	97	11	0	1	1	0.5300494181412403
Gallbladder	I	Female	40	44	98	10	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	99	10	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	100	10	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	101	10	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	102	10	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	103	10	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	104	10	0	2	1	0.5300494181412403
Gallbladder	I	Female	40	44	105	8	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	106	8	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	107	8	0	1	1	0.5300494181412403
Gallbladder	I	Female	40	44	108	7	0	0	1	0.5300494181412403
